,0
0,//as.meituan.com
1,//anqing.meituan.com
2,//ay.meituan.com
3,//aq.meituan.com
4,//anshun.meituan.com
5,//ankang.meituan.com
6,//anzhouqu.meituan.com
7,//arongqi.meituan.com
9,//atushishi.meituan.com
10,//aletaishi.meituan.com
11,//aj.meituan.com
12,//als.meituan.com
13,//anyue.meituan.com
14,//anping.meituan.com
15,//anxi.meituan.com
16,//anning.meituan.com
17,//anhua.meituan.com
18,//alaer.meituan.com
19,//anfu.meituan.com
20,//anlushi.meituan.com
21,//am.meituan.com
22,//alt.meituan.com
23,//al.meituan.com
24,//ab.meituan.com
25,//bj.meituan.com
26,//bt.meituan.com
27,//bd.meituan.com
28,//bozhou.meituan.com
29,//bz.meituan.com
30,//bengbu.meituan.com
31,//baoji.meituan.com
32,//hbbazhou.meituan.com
33,//byne.meituan.com
34,//benxi.meituan.com
35,//baise.meituan.com
36,//bazhong.meituan.com
37,//bijie.meituan.com
38,//bs.meituan.com
39,//baishan.meituan.com
40,//by.meituan.com
41,//bc.meituan.com
42,//bh.meituan.com
43,//beianshi.meituan.com
44,//bachuxian.meituan.com
45,//bayanxian.meituan.com
46,//baoying.meituan.com
47,//beiliu.meituan.com
48,//boai.meituan.com
49,//beizhenshi.meituan.com
50,//baofeng.meituan.com
51,//boxing.meituan.com
52,//biyang.meituan.com
53,//binxian.meituan.com
54,//bishan.meituan.com
55,//boshan.meituan.com
56,//binyang.meituan.com
57,//botou.meituan.com
58,//boluoxian.meituan.com
59,//bobaixian.meituan.com
60,//beipei.meituan.com
61,//baz.meituan.com
62,//betl.meituan.com
63,//binhai.meituan.com
64,//cq.meituan.com
65,//cd.meituan.com
66,//cz.meituan.com
67,//chs.meituan.com
68,//cc.meituan.com
69,//cangzhou.meituan.com
70,//changzhi.meituan.com
71,//chifeng.meituan.com
72,//cixi.meituan.com
73,//chuzhou.meituan.com
74,//changshu.meituan.com
75,//changde.meituan.com
76,//chengde.meituan.com
77,//chenzhou.meituan.com
78,//chaozhou.meituan.com
79,//conghua.meituan.com
80,//ch.meituan.com
81,//cy.meituan.com
82,//chx.meituan.com
83,//changyi.meituan.com
84,//cangnan.meituan.com
85,//cg.meituan.com
86,//chizhou.meituan.com
87,//chengwuxian.meituan.com
88,//changle.meituan.com
89,//changji.meituan.com
90,//chengjiangxian.meituan.com
91,//chongzuo.meituan.com
92,//cx.meituan.com
93,//cb.meituan.com
94,//ca.meituan.com
95,//chengdexian.meituan.com
96,//changlecl.meituan.com
97,//caofeidian.meituan.com
98,//cixian.meituan.com
99,//changyuan.meituan.com
100,//chengan.meituan.com
101,//changli.meituan.com
102,//cenxi.meituan.com
103,//chiping.meituan.com
104,//caoxian.meituan.com
105,//chenggu.meituan.com
106,//changting.meituan.com
107,//chaoan.meituan.com
108,//changshou.meituan.com
109,//changshan.meituan.com
110,//chishui.meituan.com
111,//cili.meituan.com
112,//changningshi.meituan.com
113,//chalingxian.meituan.com
114,//changfengxian.meituan.com
115,//cangxixian.meituan.com
116,//changqingqu.meituan.com
117,//chongmingqu.meituan.com
118,//chongzhou.meituan.com
119,//changdu.meituan.com
120,//dl.meituan.com
121,//dg.meituan.com
122,//dt.meituan.com
123,//dq.meituan.com
124,//dandong.meituan.com
125,//dy.meituan.com
126,//dz.meituan.com
127,//deyang.meituan.com
128,//dazhou.meituan.com
129,//dx.meituan.com
130,//dengzhou.meituan.com
131,//dongyang.meituan.com
132,//df.meituan.com
133,//dongtai.meituan.com
134,//dengfeng.meituan.com
135,//danzhou.meituan.com
136,//djy.meituan.com
137,//dsq.meituan.com
138,//dali.meituan.com
139,//danyang.meituan.com
140,//dangyang.meituan.com
141,//donggang.meituan.com
142,//dawuxia.meituan.com
143,//dingtaoqu.meituan.com
144,//dachangzizhixian.meituan.com
145,//deqing.meituan.com
146,//daye.meituan.com
147,//dongxing.meituan.com
148,//dingbianxian.meituan.com
149,//dengta.meituan.com
150,//dingyuanxian.meituan.com
151,//datongshi.meituan.com
152,//dongfang.meituan.com
153,//dongping.meituan.com
154,//dianbai.meituan.com
155,//donghai.meituan.com
156,//dingzhou.meituan.com
157,//dancheng.meituan.com
158,//dalixian.meituan.com
159,//dalateqi.meituan.com
160,//dazhu.meituan.com
161,//dawa.meituan.com
162,//dayi.meituan.com
163,//dangshan.meituan.com
164,//dunhua.meituan.com
165,//dongguang.meituan.com
166,//daoxian.meituan.com
167,//daanshi.meituan.com
168,//dinganxian.meituan.com
169,//dianjiang.meituan.com
170,//dongmingxian.meituan.com
